Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id
J,"Xia, Li-yao; Zakowski, Yannick; He, Paul; Hur, Chung-Kil; Malecha, Gregory; Pierce, Benjamin C.; Zdancewic, Steve",,,,,"Malecha, Gregory/0000-0003-3952-0807; Xia, Li-yao/0000-0003-2673-4400",,,Interaction Trees Representing Recursive and Impure Programs in Coq,,,,,,,,PROCEEDINGS OF THE ACM ON PROGRAMMING LANGUAGES-PACMPL,,,,4,,,,,,51,10.1145/3371119,,,,JAN 2020,2020,"Interaction trees (ITrees) are a general-purpose data structure for representing the behaviors of recursive 5 programs that interact with their environments. A coinductive variant of free monads, ITrees are built out of uninterpreted events and their continuations. They support compositional construction of interpreters from event handlers, which give meaning to events by defining their semantics as monadic actions. ITrees are expressive enough to represent impure and potentially nonterminating, mutually recursive computations, while admitting a rich equational theory of equivalence up to weak bisimulation. In contrast to other approaches such as relationally specified operational semantics. ITrees re executable via code extraction, making them suitable for debugging, testing, and implementing software artifacts that are amenable to formal verification.We have implemented ITrees and their associated theory as a Coq library, mechanizing classic domain- and category-theoretic results about program semantics, iteration, monadic structures, and equational reasoning. Although the internals of the library rely heavily on coinductive proofs, the interface hides these details so that clients can use and reason about ITrees without explicit use of Coq's coinduction tactics.To showcase the utility of our theory, we prove the termination-sensitive correctness of a compiler from a simple imperative source language to an assembly-like target whose meanings are given in an ITree-based denotational semantics. Unlike previous results using operational techniques, our bisimulation proof follows straightforwardly by structural induction and elementary rewriting via an equational theory of combinators for control-flow graphs.",,,,,,,,,18,0,0,0,0,0,18,,,,2475-1421,,WOS:000685202400052,
C,"Dagnino, Francesco; Bono, Viviana; Zucca, Elena; Dezani-Ciancaglini, Mariangiola",,,,"Dezani, Mariangiola/C-8066-2016","Dezani, Mariangiola/0000-0002-3341-0941; BONO, Viviana/0000-0002-2533-0511; Dagnino, Francesco/0000-0003-3599-3535; ZUCCA, ELENA/0000-0002-6833-6470","Muller, P",,Soundness conditions for big-step semantics,,,,,,,,PROGRAMMING LANGUAGES AND SYSTEMS ( ESOP 2020): 29TH EUROPEAN SYMPOSIUM ON PROGRAMMING,,Lecture Notes in Computer Science,,12075,,,,169,196,,10.1007/978-3-030-44914-8_7,,,,2020,2020,"We propose a general proof technique to show that a predicate is sound, that is, prevents stuck computation, with respect to a big-step semantics. This result may look surprising, since in big-step semantics there is no difference between non-terminating and stuck computations, hence soundness cannot even be expressed. The key idea is to define constructions yielding an extended version of a given arbitrary big-step semantics, where the difference is made explicit. The extended semantics are exploited in the meta-theory, notably they are necessary to show that the proof technique works. However, they remain transparent when using the proof technique, since it consists in checking three conditions on the original rules only, as we illustrate by several examples.",,,,,29th European Symposium on Programming (ESOP) held as part of the European Joint Conferences on Theory and Practice of Software (ETAPS)29th European Symposium on Programming (ESOP) held as part of the European Joint Conferences on Theory and Practice of Software (ETAPS),"JUL 02, 2020JUL 02, 2020",,ELECTR NETWORKELECTR NETWORK,1,0,0,0,0,0,1,,,0302-9743,1611-3349,978-3-030-44914-8; 978-3-030-44913-1,WOS:000681656800007,
C,"Paviotti, Marco; Cooksey, Simon; Paradis, Anouk; Wright, Daniel; Owens, Scott; Batty, Mark",,,,,"Wright, Daniel/0000-0001-7404-2367; Paviotti, Marco/0000-0002-1513-0807","Muller, P",,Modular Relaxed Dependencies in Weak Memory Concurrency,,,,,,,,PROGRAMMING LANGUAGES AND SYSTEMS ( ESOP 2020): 29TH EUROPEAN SYMPOSIUM ON PROGRAMMING,,Lecture Notes in Computer Science,,12075,,,,599,625,,10.1007/978-3-030-44914-8_22,,,,2020,2020,"We present a denotational semantics for weak memory concurrency that avoids thin-air reads, provides data-race free programs with sequentially consistent semantics (DRF-SC), and supports a compositional refinement relation for validating optimisations. Our semantics identifies false program dependencies that might be removed by compiler optimisation, and leaves in place just the dependencies necessary to rule out thin-air reads. We show that our dependency calculation can be used to rule out thin-air reads in any axiomatic concurrency model, in particular C++. We present a tool that automatically evaluates litmus tests, show that we can augment C++ to fix the thin-air problem, and we prove that our augmentation is compatible with the previously used compilation mappings over key processor architectures. We argue that our dependency calculation offers a practical route to fixing the longstanding problem of thin-air reads in the C++ specification.",,,,,29th European Symposium on Programming (ESOP) held as part of the European Joint Conferences on Theory and Practice of Software (ETAPS)29th European Symposium on Programming (ESOP) held as part of the European Joint Conferences on Theory and Practice of Software (ETAPS),"JUL 02, 2020JUL 02, 2020",,ELECTR NETWORKELECTR NETWORK,10,0,0,0,0,0,10,,,0302-9743,1611-3349,978-3-030-44914-8; 978-3-030-44913-1,WOS:000681656800022,
J,"Czajka, Lukasz",,,,,,,,A NEW COINDUCTIVE CONFLUENCE PROOF FOR INFINITARY LAMBDA CALCULUS,,,,,,,,LOGICAL METHODS IN COMPUTER SCIENCE,,,,16,1,,,,,31,10.23638/LMCS-16(1:31)2020,,,,2020,2020,"We present a new and formal coinductive proof of confluence and normalisation of Bohm reduction in infinitary lambda calculus. The proof is simpler than previous proofs of this result. The technique of the proof is new, i.e., it is not merely a coinductive reformulation of any earlier proofs. We formalised the proof in the Coq proof assistant.",,,,,,,,,0,0,0,0,0,0,0,,,1860-5974,,,WOS:000523360600021,
J,"Dagnino, Francesco",,,,,,,,COAXIOMS: FLEXIBLE COINDUCTIVE DEFINITIONS BY INFERENCE SYSTEMS,,,,,,,,LOGICAL METHODS IN COMPUTER SCIENCE,,,,15,1,,,,,26,10.23638/LMCS-15(1:26)2019,,,,2019,2019,"We introduce a generalized notion of inference system to support more flexible interpretations of recursive definitions. Besides axioms and inference rules with the usual meaning, we allow also coaxioms, which are, intuitively, axioms which can only be applied at infinite depth in a proof tree. Coaxioms allow us to interpret recursive definitions as fixed points which arc not necessarily the least, nor the greatest one, whose existence is guaranteed by a smooth extension of classical results. This notion nicely subsumes standard inference systems and their inductive and coinductive interpretation, thus allowing formal reasoning in cases where the inductive and coinductive interpretation do not provide the intended meaning, but are rather mixed together.",,,,,,,,,6,0,0,0,0,0,6,,,1860-5974,,,WOS:000463358400035,
C,"Mizuno, Masayuki; Sumii, Eijiro",,,,,,"Lin, AW",,Formal Verifications of Call-by-Need and Call-by-Name Evaluations with Mutual Recursion,,,,,,,,"PROGRAMMING LANGUAGES AND SYSTEMS, APLAS 2019",,Lecture Notes in Computer Science,,11893,,,,181,201,,10.1007/978-3-030-34175-6_10,,,,2019,2019,"We present new proofs-formalized in the Coq proof assistant-of the correspondence among call-by-need and (various definitions of) call-by-name evaluations of lambda-calculus with mutually recursive bindings.For non-strict languages, the equivalence between high-level specifications (call-by-name) and typical implementations (call-by-need) is of foundational interest. A particular milestone is Launchbury's natural semantics of call-by-need evaluation and proof of its adequacy with respect to call-by-name denotational semantics, which are recently formalized in Isabelle/HOL by Breitner (2018). Equational theory by Ariola et al. is another well-known formalization of call-by-need. Mutual recursion is especially challenging for their theory: reduction is complicated by the traversal of dependency (the need relation), and the correspondence of call-by-name and call-by-need reductions becomes non-trivial, requiring sophisticated structures such as graphs or infinite trees.In this paper, we give arguably simpler proofs solely based on (finite) terms and operational semantics, which are easier to handle for proof assistants (Coq in our case). Our proofs can be summarized as follows: (1) we prove the equivalence between Launchbury's call-by-need semantics and heap-based call-by-name natural semantics, where we define a sufficiently (but not too) general correspondence between the two heaps, and (2) we also show the correspondence among three styles of call-by-name semantics: (i) the natural semantics used in (1); (ii) closure-based natural semantics that informally corresponds to Launchbury's denotational semantics; and (iii) conventional substitution-based semantics.",,,,,17th Asian Symposium on Programming Languages and Systems (APLAS)17th Asian Symposium on Programming Languages and Systems (APLAS),"DEC 01-04, 2019DEC 01-04, 2019",,"Bali, INDONESIABali, INDONESIA",1,0,0,0,0,0,1,,,0302-9743,1611-3349,978-3-030-34175-6; 978-3-030-34174-9,WOS:000611530200010,
C,"Vesely, Ferdinand; Fisher, Kathleen",,,,,,"Caires, L",,One Step at a Time A Functional Derivation of Small-Step Evaluators from Big-Step Counterparts,,,,,,,,"PROGRAMMING LANGUAGES AND SYSTEMS, ESOP 2019: 28TH EUROPEAN SYMPOSIUM ON PROGRAMMING",,Lecture Notes in Computer Science,,11423,,,,205,231,,10.1007/978-3-030-17184-1_8,,,,2019,2019,"Big-step and small-step are two popular flavors of operational semantics. Big-step is often seen as a more natural transcription of informal descriptions, as well as being more convenient for some applications such as interpreter generation or optimization verification. Small-step allows reasoning about non-terminating computations, concurrency and interactions. It is also generally preferred for reasoning about type systems. Instead of having to manually specify equivalent semantics in both styles for different applications, it would be useful to choose one and derive the other in a systematic or, preferably, automatic way.Transformations of small-step semantics into big-step have been investigated in various forms by Danvy and others. However, it appears that a corresponding transformation from big-step to small-step semantics has not had the same attention. We present a fully automated transformation that maps big-step evaluators written in direct style to their small-step counterparts. Many of the steps in the transformation, which include CPS-conversion, defunctionalisation, and various continuation manipulations, mirror those used by Danvy and his co-authors. For many standard languages, including those with either call-by-value or call-by-need and those with state, the transformation produces small-step semantics that are close in style to handwritten ones. We evaluate the applicability and correctness of the approach on 20 languages with a range of features.",,,,,28th European Symposium on Programming (ESOP) Held as Part of the European Joint Conferences on Theory and Practice of Software (ETAPS)28th European Symposium on Programming (ESOP) Held as Part of the European Joint Conferences on Theory and Practice of Software (ETAPS),"APR 06-11, 2019APR 06-11, 2019",,"Prague, CZECH REPUBLICPrague, CZECH REPUBLIC",0,0,0,0,0,0,0,,,0302-9743,1611-3349,978-3-030-17184-1; 978-3-030-17183-4,WOS:000681669300008,
C,"Allombert, Victor; Gava, Frederic; Tesson, Julien",,,IEEE,,"GAVA, FREDERIC/0000-0001-5452-3809",,,A formal semantics of the MULTI-ML language,,,,,,,,2018 17TH INTERNATIONAL SYMPOSIUM ON PARALLEL AND DISTRIBUTED COMPUTING (ISPDC),,International Symposium on Parallel and Distributed Computing,,,,,,180,187,,10.1109/ISPDC2018.2018.00033,,,,2018,2018,"In the context of high performance computing, it is important to avoid indeterminism and dead-locks. MULTI-ML is a functional parallel programming language a la ML, designed to program hierarchical architectures in a structured way. It is based of the MULTI-BSP bridging model. To ensure that a program cannot go wrong, we first need to define how a program goes. To do so, we propose a formal operational semantics of the MULTI-ML language to ensure the properties of the MULTI-BSP model. We first describe a core-language and then introduce the big step's semantics evaluation rules. Then, we propose a set of evaluation rules that describe the behaviour of the MULTI-ML language. The memory model is also precisely defined, as the MULTI-BSP model deals with multiple level of nested memories.",,,,,17th Annual International Symposium on Parallel and Distributed Computing (ISPDC)17th Annual International Symposium on Parallel and Distributed Computing (ISPDC),"JUN 25-28, 2018JUN 25-28, 2018",Univ Appl Sci & Arts Western Switzerland; Univ GenevaUniv Appl Sci & Arts Western Switzerland; Univ Geneva,"Geneva, SWITZERLANDGeneva, SWITZERLAND",2,0,0,0,0,0,2,,,2379-5352,,978-1-5386-5330-2,WOS:000447280800024,
J,"Ancona, Davide; Dagnino, Francesco; Zucca, Elena",,,,,,,,Reasoning on Divergent Computations with Coaxioms,,,,,,,,PROCEEDINGS OF THE ACM ON PROGRAMMING LANGUAGES-PACMPL,,,,1,,,,,,81,10.1145/3133905,,,,OCT 2017,2017,"Coaxioms have been recently introduced to enhance the expressive power of inference systems, by supporting interpretations which are neither purely inductive, nor coinductive. This paper proposes a novel approach based on coaxioms to capture divergence in semantic definitions by allowing inductive and coinductive semantic rules to be merged together for defining a unique semantic judgment. In particular, coinduction is used to derive a special result which models divergence. In this way, divergent, terminating, and stuck computations can be properly distinguished even in semantic definitions where this is typically difficult, as in big-step style. We show how the proposed approach can be applied to several languages; in particular, we first illustrate it on the paradigmatic example of the lambda-calculus, then show how it can be adopted for defining the big-step semantics of a simple imperative Java-like language. We provide proof techniques to show classical results, including equivalence with small-step semantics, and type soundness for typed versions of both languages.",,,,,,,,,2,0,0,0,0,0,2,,,,2475-1421,,WOS:000688014000037,
J,"Allombert, V.; Gava, F.; Tesson, J.",,,,,"GAVA, FREDERIC/0000-0001-5452-3809",,,Multi-ML: Programming Multi-BSP Algorithms in ML,,,,,,,,INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,,,,45,2,SI,,340,361,,10.1007/s10766-016-0417-6,,,,APR 2017,2017,"bsp is a bridging model between abstract execution and concrete parallel systems. Structure and abstraction brought by bsp allow to have portable parallel programs with scalable performance predictions, without dealing with low-level details of architectures. In the past, we designed bsml for programming bsp algorithms in ml. However, the simplicity of the bsp model does not fit the complexity of today's hierarchical architectures such as clusters of machines with multiple multi-core processors. The multi-bsp model is an extension of the bsp model which brings a tree-based view of nested components of hierarchical architectures. To program multi-bsp algorithms in ml, we propose the multi-ml language as an extension of bsml where a specific kind of recursion is used to go through a hierarchy of computing nodes. We define a formal semantics of the language and present preliminary experiments which show performance improvements with respect to bsml.",,,,,,,,,6,0,0,0,0,0,6,,,0885-7458,1573-7640,,WOS:000397811200009,
J,"Poulsen, Casper Bach; Mosses, Peter D.",,,,"Mosses, Peter/A-8206-2019","Mosses, Peter/0000-0002-5826-7520; Bach Poulsen, Casper/0000-0003-0622-7639",,,Flag-based big-step semantics,,,,,,,,JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,,,,88,,,,174,190,,10.1016/j.jlamp.2016.05.001,,,,APR 2017,2017,"Structural operational semantic specifications come in different styles: small-step and big-step. A problem with the big-step style is that specifying divergence and abrupt termination gives rise to annoying duplication. We present a novel approach to representing divergence and abrupt termination in big-step semantics using status flags. This avoids the duplication problem, and uses fewer rules and premises for representing divergence than previous approaches in the literature. (C) 2016 Elsevier Inc. All rights reserved.",,,,,26th Nordic Workshop on Programming Theory (NWPT)26th Nordic Workshop on Programming Theory (NWPT),"OCT 29-31, 2014OCT 29-31, 2014",,"Halmstad Univ, Halmstad, SWEDENHalmstad Univ, Halmstad, SWEDEN",5,0,0,0,0,0,5,,,2352-2208,,,WOS:000396972200008,
