Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Ancona D., Barbieri P., Dagnino F., Zucca E.","7003625858;57212132672;57190810538;7005642627;","Sound regular corecursion in coFJ",2020,"Leibniz International Proceedings in Informatics, LIPIcs","166",,"1","","",,3,"10.4230/LIPIcs.ECOOP.2020.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113417441&doi=10.4230%2fLIPIcs.ECOOP.2020.1&partnerID=40&md5=042e315180be1af447d19892e4ef8ba0","The aim of the paper is to provide solid foundations for a programming paradigm natively supporting the creation and manipulation of cyclic data structures. To this end, we describe coFJ, a Java-like calculus where objects can be infinite and methods are equipped with a codefinition (an alternative body). We provide an abstract semantics of the calculus based on the framework of inference systems with corules. In coFJ with this semantics, FJ recursive methods on finite objects can be extended to infinite objects as well, and behave as desired by the programmer, by specifying a codefinition. We also describe an operational semantics which can be directly implemented in a programming language, and prove the soundness of such semantics with respect to the abstract one. © Davide Ancona, Pietro Barbieri, Francesco Dagnino, and Elena Zucca.",Conference Paper,"Final","",Scopus,2-s2.0-85113417441
"Dagnino F., Ancona D., Zucca E.","57190810538;7003625858;7005642627;","Flexible coinductive logic programming",2020,"Theory and Practice of Logic Programming","20","6",,"818","833",,4,"10.1017/S147106842000023X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092007306&doi=10.1017%2fS147106842000023X&partnerID=40&md5=e73d41b8a95f563f635c038317030334","Recursive definitions of predicates are usually interpreted either inductively or coinductively. Recently, a more powerful approach has been proposed, called flexible coinduction, to express a variety of intermediate interpretations, necessary in some cases to get the correct meaning. We provide a detailed formal account of an extension of logic programming supporting flexible coinduction. Syntactically, programs are enriched by coclauses, clauses with a special meaning used to tune the interpretation of predicates. As usual, the declarative semantics can be expressed as a fixed point which, however, is not necessarily the least, nor the greatest one, but is determined by the coclauses. Correspondingly, the operational semantics is a combination of standard SLD resolution and coSLD resolution. We prove that the operational semantics is sound and complete with respect to declarative semantics restricted to finite comodels. ©",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85092007306
"Ancona D., Dagnino F., Rot J., Zucca E.","7003625858;57190810538;55305790900;7005642627;","A big step from finite to infinite computations",2020,"Science of Computer Programming","197",,"102492","","",,3,"10.1016/j.scico.2020.102492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086589422&doi=10.1016%2fj.scico.2020.102492&partnerID=40&md5=e33c6e5642b66690f89319575e3b6225","We provide a construction that, given a big-step semantics describing finite computations and their observations, extends it to include infinite computations as well. The basic idea is that the finite behavior uniquely determines the infinite behavior once observations and their composition operators are fixed. Technically, the construction relies on the framework of inference systems with corules. The effectiveness and scope of the approach are illustrated by several examples. The correctness is formally justified by proving that, starting from a big-step semantics equivalent to a reference small-step semantics, this equivalence is preserved by the construction. © 2020 Elsevier B.V.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086589422
"Zúñiga A., Bel-Enguix G.","57205416371;56635745900;","Coinductive Natural Semantics for Compiler Verification in Coq",2020,"Mathematics","8","9","1573","","",,,"10.3390/math8091573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091521836&doi=10.3390%2fmath8091573&partnerID=40&md5=8f2c74b936c85a477185e86c42496869","(Coinductive) natural semantics is presented as a unifying framework for the verification of total correctness of compilers in Coq (with the feature that a verified compiler can be obtained). In this way, we have a simple, easy, and intuitive framework; to carry out the verification of a compiler, using a proof assistant in which both cases are considered: terminating and non-terminating computations (total correctness). © 2020 by the authors.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85091521836
"Momigliano A.","6602312633;","Why proof-theory matters in specification-based testing",2020,"CEUR Workshop Proceedings","2756",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104258676&partnerID=40&md5=bc7f74812d1a444a691d53b5856a69ac","We survey some recent developments in giving a logical reconstruction of specification-based testing via the lenses of structural proof-theory. © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0). Partially supported by GNCS project “METALLIC #2: METodi di prova per il ragionamento Automatico per Logiche non-cLassIChe”.",Conference Paper,"Final","",Scopus,2-s2.0-85104258676
"Hardin D., Slind K., Pohjola J.Å., Sproul M.","7005216502;6602803304;56178736500;57224687253;","Synthesis of verified architectural components for critical systems hosted on a verified microkernel",2020,"Proceedings of the Annual Hawaii International Conference on System Sciences","2020-January",,,"6365","6374",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103499929&partnerID=40&md5=aa7e479bbbe5a91bbdadcafb71f1eedb","We describe a method and tools for the creation of formally verified components that run on the verified seL4 microkernel. This synthesis and verification environment provides a basis to create safe and secure critical systems. The mathematically proved space and time separation properties of seL4 are particularly well-suited for the miniaturised electronics of smaller, lower-cost Unmanned Aerial Vehicles (UAVs), as multiple, independent UAV applications can be hosted on a single CPU with high assurance. We illustrate our method and tools with an example that implements security-improving transformations on system architectures captured in the Architecture Analysis and Design Language (AADL). We show how input validation filter components can be synthesised from regular expressions, and verified to meet arithmetic constraints extracted from the AADL model. Such filters comprise efficient guards on messages to/from the autonomous system. The correctness proofs for filters are automatically lifted to proofs of the corresponding properties on the lazy streams that model the communications of the generated seL4 threads. Finally, we guarantee that the intent of the autonomy application logic is accurately reflected in the application binary code hosted on seL4 through the use of the verified CakeML compiler. © 2020 IEEE Computer Society. All rights reserved.",Conference Paper,"Final","",Scopus,2-s2.0-85103499929
"Jaloyan G.-A., Dross C., Maalej M., Moy Y., Paskevich A.","57192060591;42861173600;57189304727;23973568500;55990666200;","Verification of Programs with Pointers in SPARK",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12531 LNCS",,,"55","72",,,"10.1007/978-3-030-63406-3_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098242095&doi=10.1007%2f978-3-030-63406-3_4&partnerID=40&md5=121216bdd48f607145cf7265629acde8","In the field of deductive software verification, programs with pointers present a major challenge due to pointer aliasing. In this paper, we introduce pointers to SPARK, a well-defined subset of the Ada language, intended for formal verification of mission-critical software. Our solution uses a permission-based static alias analysis method inspired by Rust’s borrow-checker and affine types. To validate our approach, we have implemented it in the SPARK GNATprove formal verification toolset for Ada. In the paper, we give a formal presentation of the analysis rules for a core version of SPARK and discuss their implementation and scope. © 2020, Springer Nature Switzerland AG.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85098242095
"Cohen L., Rowe R.N.S.","56347969100;35180386000;","Integrating Induction and Coinduction via Closure Operators and Proof Cycles",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12166 LNAI",,,"375","394",,2,"10.1007/978-3-030-51074-9_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088235579&doi=10.1007%2f978-3-030-51074-9_21&partnerID=40&md5=cbc3288e33ab86f9d599689cd967fe0e","Coinductive reasoning about infinitary data structures has many applications in computer science. Nonetheless developing natural proof systems (especially ones amenable to automation) for reasoning about coinductive data remains a challenge. This paper presents a minimal, generic formal framework that uniformly captures applicable (i.e. finitary) forms of inductive and coinductive reasoning in an intuitive manner. The logic extends transitive closure logic, a general purpose logic for inductive reasoning based on the transitive closure operator, with a dual ‘co-closure’ operator that similarly captures applicable coinductive reasoning in a natural, effective manner. We develop a sound and complete non-well-founded proof system for the extended logic, whose cyclic subsystem provides the basis for an effective system for automated inductive and coinductive reasoning. To demonstrate the adequacy of the framework we show that it captures the canonical coinductive data type: streams. © 2020, Springer Nature Switzerland AG.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85088235579
"Dagnino F., Bono V., Zucca E., Dezani-Ciancaglini M.","57190810538;57201262332;7005642627;57140196800;","Soundness Conditions for Big-Step Semantics",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12075 LNCS",,,"169","196",,3,"10.1007/978-3-030-44914-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083995217&doi=10.1007%2f978-3-030-44914-8_7&partnerID=40&md5=e1d608a1216e11d635517af5fcbb1745","We propose a general proof technique to show that a predicate is sound, that is, prevents stuck computation, with respect to a big-step semantics. This result may look surprising, since in big-step semantics there is no difference between non-terminating and stuck computations, hence soundness cannot even be expressed. The key idea is to define constructions yielding an extended version of a given arbitrary big-step semantics, where the difference is made explicit. The extended semantics are exploited in the meta-theory, notably they are necessary to show that the proof technique works. However, they remain transparent when using the proof technique, since it consists in checking three conditions on the original rules only, as we illustrate by several examples. © 2020, The Author(s).",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85083995217
"Paviotti M., Cooksey S., Paradis A., Wright D., Owens S., Batty M.","57191897154;57216584758;57216588560;57216588125;7102978424;36968545700;","Modular Relaxed Dependencies in Weak Memory Concurrency",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12075 LNCS",,,"599","625",,11,"10.1007/978-3-030-44914-8_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083991181&doi=10.1007%2f978-3-030-44914-8_22&partnerID=40&md5=6ed5c1e9fc2ba7196d3130de12fc5ea7","We present a denotational semantics for weak memory concurrency that avoids thin-air reads, provides data-race free programs with sequentially consistent semantics (DRF-SC), and supports a compositional refinement relation for validating optimisations. Our semantics identifies false program dependencies that might be removed by compiler optimisation, and leaves in place just the dependencies necessary to rule out thin-air reads. We show that our dependency calculation can be used to rule out thin-air reads in any axiomatic concurrency model, in particular C++. We present a tool that automatically evaluates litmus tests, show that we can augment C++ to fix the thin-air problem, and we prove that our augmentation is compatible with the previously used compilation mappings over key processor architectures. We argue that our dependency calculation offers a practical route to fixing the longstanding problem of thin-air reads in the C++ specification. © 2020, The Author(s).",Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85083991181
"Ukasz Czajka Ł.","23395860300;","A new coinductive confluence proof for infinitary lambda calculus",2020,"Logical Methods in Computer Science","16","1","31","","",,2,"10.23638/LMCS-16(1:31)2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082109754&doi=10.23638%2fLMCS-16%281%3a31%292020&partnerID=40&md5=d9032b109d99a82093b5eb888523531c","We present a new and formal coinductive proof of confluence and normalisation of Böhm reduction in infinitary lambda calculus. The proof is simpler than previous proofs of this result. The technique of the proof is new, i.e., it is not merely a coinductive reformulation of any earlier proofs. We formalised the proof in the Coq proof assistant. © Ł. Czajka ○ Creative Commons.",Article,"Final","",Scopus,2-s2.0-85082109754
"Pohjola J.Å., Rostedt H., Myreen M.O.","56178736500;57211610247;23088605400;","Characteristic formulae for liveness properties of non-terminating CakeML programs",2019,"Leibniz International Proceedings in Informatics, LIPIcs","141",,"32","","",,7,"10.4230/LIPIcs.ITP.2019.32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074605520&doi=10.4230%2fLIPIcs.ITP.2019.32&partnerID=40&md5=59c87ef75bc5cd785341191604f1f6a9","There are useful programs that do not terminate, and yet standard Hoare logics are not able to prove liveness properties about non-terminating programs. This paper shows how a Hoare-like programming logic framework (characteristic formulae) can be extended to enable reasoning about the I/O behaviour of programs that do not terminate. The approach is inspired by transfinite induction rather than coinduction, and does not require non-terminating loops to be productive. This work has been developed in the HOL4 theorem prover and has been integrated into the ecosystem of proof tools surrounding the CakeML programming language. © Johannes Åman Pohjola, Henrik Rostedt, and Magnus O. Myreen.",Conference Paper,"Final","",Scopus,2-s2.0-85074605520
"Dagnino F.","57190810538;","A framework for big-step semantics",2019,"ACM International Conference Proceeding Series",,,"a27","","",,,"10.1145/3328433.3328461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072792579&doi=10.1145%2f3328433.3328461&partnerID=40&md5=de0cb67beb77c4c266cce4968e63d80b",[No abstract available],Conference Paper,"Final","",Scopus,2-s2.0-85072792579
"Liu X., Li X., Prajapati R., Wu D.","57221423152;57218926055;56160104400;42162348900;","DeepFuzz: Automatic generation of syntax valid C programs for fuzz testing",2019,"33rd AAAI Conference on Artificial Intelligence, AAAI 2019, 31st Innovative Applications of Artificial Intelligence Conference, IAAI 2019 and the 9th AAAI Symposium on Educational Advances in Artificial Intelligence, EAAI 2019",,,,"1044","1051",,25,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076914174&partnerID=40&md5=0ec9042b6ac3eabd669a4353c79c8bba","Compilers are among the most fundamental programming tools for building software. However, production compilers remain buggy. Fuzz testing is often leveraged with newly-generated, or mutated inputs in order to find new bugs or security vulnerabilities. In this paper, we propose a grammar-based fuzzing tool called DEEPFUZZ. Based on a generative Sequence-to-Sequence model, DEEPFUZZ automatically and continuously generates well-formed C programs. We use this set of new C programs to fuzz off-the-shelf C compilers, e.g., GCC and Clang/LLVM. We present a detailed case study to analyze the success rate and coverage improvement of the generated C programs for fuzz testing. We analyze the performance of DEEPFUZZ with three types of sampling methods as well as three types of generation strategies. Consequently, DEEPFUZZ improved the testing efficacy in regards to the line, function, and branch coverage. In our preliminary study, we found and reported 8 bugs of GCC, all of which are actively being addressed by developers. © 2019, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Conference Paper,"Final","",Scopus,2-s2.0-85076914174
